velocities,frequencies
-195,-13.888888888888888
-160,-16.0
-15,-0.0
85,11.592741935483872
40,17.430278884462147
190,13.499999999999998
50,9.538152610441767
5,0.0
-100,-13.265306122448978
-60,-12.096774193548386
185,13.157894736842104
-25,-19.0
135,12.600806451612906
-125,-12.5
-90,-12.145748987854251
-50,-11.639676113360323
-185,-12.5
15,0.0
95,12.096774193548386
255,13.265306122448978
220,13.446215139442229
-105,-13.104563496230337
-80,-12.703252032520323
130,12.600806451612906
-85,-12.550200803212851
25,0.0
-245,-14.11260684209421
150,12.651821862348179
80,11.592741935483872
55,10.121457489878543
105,12.048192771084336
240,13.608870967741936
65,10.95617529880478
-240,-13.999999999999998
235,13.71951219512195
-205,-14.170040485829958
225,13.608870967741936
-120,-13.608870967741936
-150,-14.112903225806452
-55,-11.5
60,10.58467741935484
245,13.499999999999998
-135,-13.608870967741936
250,13.608870967741936
-115,-12.703252032520323
115,12.048192771084336
45,19.076305220883533
215,13.55421686746988
140,12.600806451612906
180,13.052208835341364
-40,-11.044176706827308
0,0.0
-155,-13.663967611336032
-140,-13.55421686746988
210,13.608870967741936
-35,-10.95617529880478
-45,-11.088709677419356
120,12.45019920318725
175,13.157617290458617
-175,-14.056224899598394
-130,-13.499999999999998
170,13.052208835341364
-30,-10.5
-165,-13.999999999999998
160,13.10483870967742
-75,-12.600806451612906
-255,-12.5
-20,-0.0
-5,-0.0
20,0.0
10,0.0
-250,-13.999999999999998
125,12.096774193548386
-210,-12.5
165,13.052208835341364
70,11.133368476541907
200,13.499999999999998
-225,-14.112903225806452
-65,-12.096520150366466
110,12.5
100,12.19512195121951
-235,-11.546184738955823
-230,-14.056224899598394
35,0.0
-215,-14.170040485829958
230,13.608870967741936
-180,-14.056224899598394
155,13.10483870967742
-70,-12.651555086979439
-110,-12.19512195121951
-10,-0.0
195,13.608870967741936
-220,-14.056224899598394
75,10.95617529880478
-200,-14.112903225806452
205,13.55421686746988
-190,-14.170040485829958
-95,-12.94820717131474
90,11.59249847743453
-145,-11.592741935483872
-170,-13.499999999999998
145,13.052208835341364
30,0.0
105,12.550200803212851
140,13.10483870967742
135,12.5
-115,-12.600806451612906
-80,-12.45019920318725
-105,-12.550200803212851
175,13.10483870967742
-85,-12.550200803212851
120,12.600806451612906
90,11.952191235059761
-170,-11.592741935483872
-245,-13.999999999999998
190,13.55421686746988
-220,-13.999999999999998
-20,-0.0
-255,-14.112903225806452
-65,-12.550200803212851
210,13.608870967741936
-180,-13.999708339409596
-25,-0.0
-235,-14.056224899598394
-110,-13.608870967741936
-60,-11.952191235059761
55,10.0
205,13.608870967741936
-5,-0.0
-230,-14.112903225806452
-175,-18.145161290322584
-210,-14.056224899598394
-130,-15.873015873015872
-205,-13.999999999999998
-35,-11.0
235,13.55421686746988
-200,-13.999999999999998
0,0.0
240,13.608585169162275
185,13.55421686746988
-10,-0.0
225,13.94422310756972
250,13.499999999999998
-240,-14.5
125,13.157894736842104
130,13.10483870967742
-40,-11.0
-120,-12.600806451612906
110,12.600806451612906
160,13.446215139442229
-150,-12.0
-225,-14.170040485829958
-45,-11.546184738955823
-190,-14.112903225806452
200,13.999999999999998
-55,-12.048192771084336
-215,-14.11260684209421
45,19.42231075697211
-250,-14.442231075697212
70,11.0
-145,-12.550200803212851
40,17.499999999999996
145,13.0
215,13.55421686746988
165,13.55421686746988
80,12.0
220,13.446215139442229
10,0.0
5,0.0
150,13.499999999999998
-140,-12.550200803212851
-30,-10.542168674698795
-135,-18.724301528729573
-195,-14.112903225806452
245,13.999999999999998
180,13.608870967741936
75,11.546184738955823
195,13.55421686746988
115,12.600806451612906
-50,-11.952191235059761
155,13.55421686746988
30,0.0
-125,-12.0
100,12.550200803212851
95,12.600806451612906
-160,-12.5
230,14.055930891673116
85,12.048192771084336
50,19.42231075697211
-75,-12.651821862348179
65,10.542168674698795
-185,-14.112903225806452
-70,-12.5
-100,-12.600806451612906
35,0.0
-95,-12.096774193548386
25,0.0
-165,-14.056224899598394
15,0.0
170,13.553933359827647
60,10.58467741935484
-155,-12.096520150366466
-15,-0.0
20,0.0
-90,-12.600806451612906
255,14.056224899598394
180,13.55421686746988
-10,-0.0
